,0,1,2,3
msfem.setup.problem_max_sys_abspart,0.001,0.001,0.0,0.0
msfem.setup.problem_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_sys_speedup,1.0,0.667,0.727,1.231
msfem.setup.problem_avg_sys_parallel_efficiency,1.0,0.3335,0.18175,0.153875
msfem.setup.problem_avg_sys_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_wall_speedup,,,,
msfem.setup.problem_max_wall_parallel_efficiency,,,,
msfem.setup.problem_max_wall_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_wall_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_wall_speedup,,,,
msfem.setup.problem_avg_wall_parallel_efficiency,,,,
msfem.setup.problem_avg_wall_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_wall_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_usr_threadeff,inf,inf,inf,inf
msfem.setup.problem_avg_usr_threadeff,inf,inf,inf,inf
msfem.coarse.linearSolver_max_usr_speedup,1.0,2.0,1.6,2.0
msfem.coarse.linearSolver_max_usr_parallel_efficiency,1.0,1.0,0.4,0.25
msfem.coarse.linearSolver_max_usr_abspart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_max_usr_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_avg_usr_speedup,1.0,2.208,2.071,2.291
msfem.coarse.linearSolver_avg_usr_parallel_efficiency,1.0,1.104,0.51775,0.286375
msfem.coarse.linearSolver_avg_usr_abspart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_avg_usr_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_max_sys_speedup,1.0,1.0,0.667,0.667
msfem.coarse.linearSolver_max_sys_parallel_efficiency,1.0,0.5,0.16675,0.083375
msfem.coarse.linearSolver_max_sys_abspart,0.001,0.002,0.001,0.001
msfem.coarse.linearSolver_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_avg_sys_speedup,1.0,1.23,0.458,0.493
msfem.coarse.linearSolver_avg_sys_parallel_efficiency,1.0,0.615,0.1145,0.061625
msfem.coarse.linearSolver_avg_sys_abspart,0.0,0.001,0.001,0.001
msfem.coarse.linearSolver_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_max_wall_speedup,1.0,2.118,1.636,2.0
msfem.coarse.linearSolver_max_wall_parallel_efficiency,1.0,1.059,0.409,0.25
msfem.coarse.linearSolver_max_wall_abspart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_max_wall_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_avg_wall_speedup,1.0,2.118,1.823,2.004
msfem.coarse.linearSolver_avg_wall_parallel_efficiency,1.0,1.059,0.45575,0.2505
msfem.coarse.linearSolver_avg_wall_abspart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_avg_wall_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_max_usr_threadeff,1.111,1.176,1.136,1.111
msfem.coarse.linearSolver_avg_usr_threadeff,0.956,0.917,0.841,0.836
msfem.Elliptic_MsFEM_Solver.apply_max_usr_speedup,1.0,1.932,3.89,7.552
msfem.Elliptic_MsFEM_Solver.apply_max_usr_parallel_efficiency,1.0,0.966,0.9725,0.944
msfem.Elliptic_MsFEM_Solver.apply_max_usr_abspart,0.985,0.968,0.88,0.703
msfem.Elliptic_MsFEM_Solver.apply_max_usr_wallpart,0.792,0.669,0.45,0.208
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_speedup,1.0,1.931,3.925,7.651
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_parallel_efficiency,1.0,0.9655,0.98125,0.956375
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_abspart,0.994,0.992,0.964,0.933
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_wallpart,0.79,0.667,0.447,0.204
msfem.Elliptic_MsFEM_Solver.apply_max_sys_speedup,1.0,1.564,3.865,5.662
msfem.Elliptic_MsFEM_Solver.apply_max_sys_parallel_efficiency,1.0,0.782,0.96625,0.70775
msfem.Elliptic_MsFEM_Solver.apply_max_sys_abspart,0.268,0.25,0.047,0.024
msfem.Elliptic_MsFEM_Solver.apply_max_sys_wallpart,0.007,0.007,0.004,0.002
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_speedup,1.0,1.953,3.745,6.434
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_parallel_efficiency,1.0,0.9765,0.93625,0.80425
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_abspart,0.428,0.381,0.118,0.068
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_wallpart,0.004,0.004,0.003,0.001
