,0,1,2
msfem.local.solve_for_all_cells_max_usr_speedup,1.0,1.948,3.3
msfem.local.solve_for_all_cells_max_usr_parallel_efficiency,1.0,0.974,0.825
msfem.local.solve_for_all_cells_max_usr_abspart,0.373,0.368,0.336
msfem.local.solve_for_all_cells_max_usr_wallpart,0.355,0.324,0.191
msfem.local.solve_for_all_cells_avg_usr_speedup,1.0,1.987,3.976
msfem.local.solve_for_all_cells_avg_usr_parallel_efficiency,1.0,0.9935,0.994
msfem.local.solve_for_all_cells_avg_usr_abspart,0.319,0.318,0.267
msfem.local.solve_for_all_cells_avg_usr_wallpart,0.3,0.269,0.134
msfem.local.solve_for_all_cells_max_sys_speedup,1.0,1.71,2.765
msfem.local.solve_for_all_cells_max_sys_parallel_efficiency,1.0,0.855,0.69125
msfem.local.solve_for_all_cells_max_sys_abspart,0.907,0.873,0.723
msfem.local.solve_for_all_cells_max_sys_wallpart,0.005,0.005,0.003
msfem.local.solve_for_all_cells_avg_sys_speedup,1.0,1.768,3.415
msfem.local.solve_for_all_cells_avg_sys_parallel_efficiency,1.0,0.884,0.85375
msfem.local.solve_for_all_cells_avg_sys_abspart,0.886,0.887,0.714
msfem.local.solve_for_all_cells_avg_sys_wallpart,0.004,0.004,0.002
msfem.local.solve_for_all_cells_max_wall_speedup,1.0,1.948,3.302
msfem.local.solve_for_all_cells_max_wall_parallel_efficiency,1.0,0.974,0.8255
msfem.local.solve_for_all_cells_max_wall_abspart,0.361,0.329,0.194
msfem.local.solve_for_all_cells_max_wall_wallpart,0.361,0.329,0.194
msfem.local.solve_for_all_cells_avg_wall_speedup,1.0,1.982,3.964
msfem.local.solve_for_all_cells_avg_wall_parallel_efficiency,1.0,0.991,0.991
msfem.local.solve_for_all_cells_avg_wall_abspart,0.305,0.274,0.137
msfem.local.solve_for_all_cells_avg_wall_wallpart,0.305,0.274,0.137
msfem.local.solve_for_all_cells_max_usr_threadeff,0.985,0.985,0.985
msfem.local.solve_for_all_cells_avg_usr_threadeff,0.983,0.981,0.981
msfem.setup.grid_max_usr_speedup,1.0,0.528,0.252
msfem.setup.grid_max_usr_parallel_efficiency,1.0,0.264,0.063
msfem.setup.grid_max_usr_abspart,0.013,0.048,0.156
msfem.setup.grid_max_usr_wallpart,0.013,0.042,0.089
msfem.setup.grid_avg_usr_speedup,1.0,0.544,0.123
msfem.setup.grid_avg_usr_parallel_efficiency,1.0,0.272,0.03075
msfem.setup.grid_avg_usr_abspart,0.002,0.006,0.042
msfem.setup.grid_avg_usr_wallpart,0.001,0.005,0.021
msfem.setup.grid_max_sys_speedup,1.0,0.875,0.318
msfem.setup.grid_max_sys_parallel_efficiency,1.0,0.4375,0.0795
msfem.setup.grid_max_sys_abspart,0.028,0.053,0.196
msfem.setup.grid_max_sys_wallpart,0.0,0.0,0.001
msfem.setup.grid_avg_sys_speedup,1.0,0.88,0.463
msfem.setup.grid_avg_sys_parallel_efficiency,1.0,0.44,0.11575
msfem.setup.grid_avg_sys_abspart,0.011,0.023,0.067
msfem.setup.grid_avg_sys_wallpart,0.0,0.0,0.0
msfem.setup.grid_max_wall_speedup,1.0,0.611,0.181
msfem.setup.grid_max_wall_parallel_efficiency,1.0,0.3055,0.04525
msfem.setup.grid_max_wall_abspart,0.052,0.151,0.508
msfem.setup.grid_max_wall_wallpart,0.052,0.151,0.508
msfem.setup.grid_avg_wall_speedup,1.0,0.611,0.181
msfem.setup.grid_avg_wall_parallel_efficiency,1.0,0.3055,0.04525
msfem.setup.grid_avg_wall_abspart,0.052,0.151,0.509
msfem.setup.grid_avg_wall_wallpart,0.052,0.151,0.509
msfem.setup.grid_max_usr_threadeff,0.243,0.28,0.175
msfem.setup.grid_avg_usr_threadeff,0.028,0.032,0.041
msfem.coarse.solve_max_usr_speedup,1.0,1.973,1.327
msfem.coarse.solve_max_usr_parallel_efficiency,1.0,0.9865,0.33175
msfem.coarse.solve_max_usr_abspart,0.116,0.113,0.259
msfem.coarse.solve_max_usr_wallpart,0.11,0.099,0.147
msfem.coarse.solve_avg_usr_speedup,1.0,1.997,1.395
msfem.coarse.solve_avg_usr_parallel_efficiency,1.0,0.9985,0.34875
msfem.coarse.solve_avg_usr_abspart,0.08,0.08,0.191
msfem.coarse.solve_avg_usr_wallpart,0.076,0.067,0.096
msfem.coarse.solve_max_sys_speedup,1.0,1.833,1.023
msfem.coarse.solve_max_sys_parallel_efficiency,1.0,0.9165,0.25575
msfem.coarse.solve_max_sys_abspart,0.178,0.16,0.384
msfem.coarse.solve_max_sys_wallpart,0.001,0.001,0.002
msfem.coarse.solve_avg_sys_speedup,1.0,2.012,1.146
msfem.coarse.solve_avg_sys_parallel_efficiency,1.0,1.006,0.2865
msfem.coarse.solve_avg_sys_abspart,0.087,0.077,0.21
msfem.coarse.solve_avg_sys_wallpart,0.0,0.0,0.001
msfem.coarse.solve_max_wall_speedup,1.0,1.974,1.33
msfem.coarse.solve_max_wall_parallel_efficiency,1.0,0.987,0.3325
msfem.coarse.solve_max_wall_abspart,0.111,0.1,0.148
msfem.coarse.solve_max_wall_wallpart,0.111,0.1,0.148
msfem.coarse.solve_avg_wall_speedup,1.0,1.997,1.394
msfem.coarse.solve_avg_wall_parallel_efficiency,1.0,0.9985,0.3485
msfem.coarse.solve_avg_wall_abspart,0.076,0.068,0.097
msfem.coarse.solve_avg_wall_wallpart,0.076,0.068,0.097
msfem.coarse.solve_max_usr_threadeff,0.993,0.993,0.994
msfem.coarse.solve_avg_usr_threadeff,0.992,0.992,0.991
msfem.local_grids_max_usr_speedup,1.0,1.0,1.0
msfem.local_grids_max_usr_parallel_efficiency,1.0,0.5,0.25
msfem.local_grids_max_usr_abspart,0.0,0.0,0.0
msfem.local_grids_max_usr_wallpart,0.0,0.0,0.0
msfem.local_grids_avg_usr_speedup,1.0,1.919,3.673
msfem.local_grids_avg_usr_parallel_efficiency,1.0,0.9595,0.91825
msfem.local_grids_avg_usr_abspart,0.0,0.0,0.0
msfem.local_grids_avg_usr_wallpart,0.0,0.0,0.0
msfem.local_grids_max_sys_speedup,1.0,1.0,1.0
msfem.local_grids_max_sys_parallel_efficiency,1.0,0.5,0.25
msfem.local_grids_max_sys_abspart,0.004,0.007,0.009
msfem.local_grids_max_sys_wallpart,0.0,0.0,0.0
msfem.local_grids_avg_sys_speedup,1.0,1.606,6.725
msfem.local_grids_avg_sys_parallel_efficiency,1.0,0.803,1.68125
msfem.local_grids_avg_sys_abspart,0.001,0.001,0.0
msfem.local_grids_avg_sys_wallpart,0.0,0.0,0.0
msfem.local_grids_max_wall_speedup,1.0,2.667,8.0
msfem.local_grids_max_wall_parallel_efficiency,1.0,1.3335,2.0
msfem.local_grids_max_wall_abspart,0.0,0.0,0.0
msfem.local_grids_max_wall_wallpart,0.0,0.0,0.0
msfem.local_grids_avg_wall_speedup,1.0,2.314,10.712
msfem.local_grids_avg_wall_parallel_efficiency,1.0,1.157,2.678
msfem.local_grids_avg_wall_abspart,0.0,0.0,0.0
msfem.local_grids_avg_wall_wallpart,0.0,0.0,0.0
msfem.local_grids_max_usr_threadeff,1.25,3.333,10.0
msfem.local_grids_avg_usr_threadeff,0.799,0.963,2.33
