,0,1,2,3
msfem.Elliptic_MsFEM_Solver.apply_max_sys_wallpart,0.006,0.005,0.005,0.002
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_speedup,1.0,1.773,2.938,5.313
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_parallel_efficiency,1.0,0.8865,0.7345,0.664125
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_abspart,0.988,0.942,0.886,0.882
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_wallpart,0.005,0.004,0.003,0.002
msfem.Elliptic_MsFEM_Solver.apply_max_wall_speedup,1.0,1.97,3.397,6.643
msfem.Elliptic_MsFEM_Solver.apply_max_wall_parallel_efficiency,1.0,0.985,0.84925,0.830375
msfem.Elliptic_MsFEM_Solver.apply_max_wall_abspart,0.946,0.786,0.589,0.267
msfem.Elliptic_MsFEM_Solver.apply_max_wall_wallpart,0.946,0.786,0.589,0.267
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_speedup,1.0,1.974,3.418,6.728
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_parallel_efficiency,1.0,0.987,0.8545,0.841
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_abspart,0.945,0.785,0.586,0.265
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_wallpart,0.945,0.785,0.586,0.265
msfem.Elliptic_MsFEM_Solver.apply_max_usr_threadeff,0.993,0.992,0.993,0.991
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_threadeff,0.993,0.992,0.992,0.991
msfem.algorithm_max_usr_speedup,1.0,1.712,2.875,4.538
msfem.algorithm_max_usr_parallel_efficiency,1.0,0.856,0.71875,0.56725
msfem.algorithm_max_usr_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_max_usr_wallpart,0.948,0.907,0.698,0.392
msfem.algorithm_avg_usr_speedup,1.0,1.901,3.126,6.23
msfem.algorithm_avg_usr_parallel_efficiency,1.0,0.9505,0.7815,0.77875
msfem.algorithm_avg_usr_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_avg_usr_wallpart,0.94,0.81,0.637,0.284
msfem.algorithm_max_sys_speedup,1.0,1.399,2.307,3.757
msfem.algorithm_max_sys_parallel_efficiency,1.0,0.6995,0.57675,0.469625
