,0,1,2,3
msfem.all_max_wall_abspart,1.0,1.0,1.0,1.0
msfem.all_max_wall_wallpart,1.0,1.0,1.0,1.0
msfem.all_avg_wall_speedup,1.0,1.343,1.167,0.769
msfem.all_avg_wall_parallel_efficiency,1.0,0.6715,0.29175,0.096125
msfem.all_avg_wall_abspart,1.0,1.0,1.0,1.0
msfem.all_avg_wall_wallpart,1.0,1.0,1.0,1.0
msfem.all_max_usr_threadeff,0.845,0.695,0.413,0.276
msfem.all_avg_usr_threadeff,0.804,0.57,0.248,0.132
msfem.setup.grid_max_usr_speedup,1.0,0.746,0.606,0.405
msfem.setup.grid_max_usr_parallel_efficiency,1.0,0.373,0.1515,0.050625
msfem.setup.grid_max_usr_abspart,0.114,0.251,0.452,0.665
msfem.setup.grid_max_usr_wallpart,0.096,0.174,0.186,0.183
msfem.setup.grid_avg_usr_speedup,1.0,1.484,2.691,0.972
msfem.setup.grid_avg_usr_parallel_efficiency,1.0,0.742,0.67275,0.1215
msfem.setup.grid_avg_usr_abspart,0.061,0.077,0.085,0.293
msfem.setup.grid_avg_usr_wallpart,0.049,0.044,0.021,0.039
msfem.setup.grid_max_sys_speedup,1.0,0.765,0.867,0.565
msfem.setup.grid_max_sys_parallel_efficiency,1.0,0.3825,0.21675,0.070625
msfem.setup.grid_max_sys_abspart,0.21,0.395,0.517,0.742
msfem.setup.grid_max_sys_wallpart,0.001,0.002,0.002,0.002
msfem.setup.grid_avg_sys_speedup,1.0,1.276,1.607,0.979
msfem.setup.grid_avg_sys_parallel_efficiency,1.0,0.638,0.40175,0.122375
msfem.setup.grid_avg_sys_abspart,0.107,0.147,0.208,0.399
msfem.setup.grid_avg_sys_wallpart,0.0,0.001,0.0,0.0
msfem.setup.grid_max_wall_speedup,1.0,0.706,0.365,0.204
msfem.setup.grid_max_wall_parallel_efficiency,1.0,0.353,0.09125,0.0255
msfem.setup.grid_max_wall_abspart,0.236,0.451,0.758,0.893
msfem.setup.grid_max_wall_wallpart,0.236,0.451,0.758,0.893
msfem.setup.grid_avg_wall_speedup,1.0,0.706,0.364,0.204
msfem.setup.grid_avg_wall_parallel_efficiency,1.0,0.353,0.091,0.0255
msfem.setup.grid_avg_wall_abspart,0.238,0.452,0.761,0.898
msfem.setup.grid_avg_wall_wallpart,0.238,0.452,0.761,0.898
msfem.setup.grid_max_usr_threadeff,0.409,0.386,0.246,0.205
msfem.setup.grid_avg_usr_threadeff,0.205,0.097,0.028,0.043
msfem.algorithm_max_usr_speedup,1.0,1.641,2.396,2.36
msfem.algorithm_max_usr_parallel_efficiency,1.0,0.8205,0.599,0.295
msfem.algorithm_max_usr_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_max_usr_wallpart,0.845,0.695,0.413,0.276
msfem.algorithm_avg_usr_speedup,1.0,1.894,3.786,4.7
msfem.algorithm_avg_usr_parallel_efficiency,1.0,0.947,0.9465,0.5875
msfem.algorithm_avg_usr_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_avg_usr_wallpart,0.804,0.57,0.248,0.132
msfem.algorithm_max_sys_speedup,1.0,1.442,2.138,2.0
msfem.algorithm_max_sys_parallel_efficiency,1.0,0.721,0.5345,0.25
