,0,1,2,3
msfem.setup.grid_avg_usr_scaleup,1.0,1.302,0.439,0.334
msfem.setup.grid_avg_usr_abspart,0.009,0.007,0.015,0.015
msfem.setup.grid_avg_usr_wallpart,0.008,0.007,0.013,0.014
msfem.setup.grid_max_sys_scaleup,1.0,1.5,0.75,0.667
msfem.setup.grid_max_sys_abspart,0.146,0.095,0.163,0.143
msfem.setup.grid_max_sys_wallpart,0.001,0.001,0.001,0.001
msfem.setup.grid_avg_sys_scaleup,1.0,1.016,0.703,0.673
msfem.setup.grid_avg_sys_abspart,0.074,0.083,0.113,0.096
msfem.setup.grid_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.setup.grid_max_wall_scaleup,1.0,0.796,0.494,0.384
msfem.setup.grid_max_wall_abspart,0.074,0.099,0.111,0.11
msfem.setup.grid_max_wall_wallpart,0.074,0.099,0.111,0.11
msfem.setup.grid_avg_wall_scaleup,1.0,0.796,0.493,0.383
msfem.setup.grid_avg_wall_abspart,0.075,0.101,0.112,0.112
msfem.setup.grid_avg_wall_wallpart,0.075,0.101,0.112,0.112
msfem.setup.grid_max_usr_threadeff,0.622,0.249,0.806,0.975
msfem.setup.grid_avg_usr_threadeff,0.106,0.065,0.119,0.121
msfem.Elliptic_MsFEM_Solver.apply_max_usr_scaleup,1.0,1.114,0.771,0.592
msfem.Elliptic_MsFEM_Solver.apply_max_usr_abspart,0.953,0.976,0.925,0.913
msfem.Elliptic_MsFEM_Solver.apply_max_usr_wallpart,0.918,0.875,0.884,0.886
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_scaleup,1.0,1.113,0.761,0.591
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_abspart,0.991,0.993,0.985,0.985
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_wallpart,0.915,0.875,0.883,0.884
msfem.Elliptic_MsFEM_Solver.apply_max_sys_scaleup,1.0,1.026,0.976,0.741
msfem.Elliptic_MsFEM_Solver.apply_max_sys_abspart,0.976,0.929,0.837,0.857
msfem.Elliptic_MsFEM_Solver.apply_max_sys_wallpart,0.008,0.008,0.006,0.006
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_scaleup,1.0,1.152,1.126,0.896
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_abspart,0.923,0.913,0.883,0.902
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_wallpart,0.005,0.005,0.003,0.003
msfem.Elliptic_MsFEM_Solver.apply_max_wall_scaleup,1.0,1.116,0.774,0.595
msfem.Elliptic_MsFEM_Solver.apply_max_wall_abspart,0.926,0.881,0.888,0.889
msfem.Elliptic_MsFEM_Solver.apply_max_wall_wallpart,0.926,0.881,0.888,0.889
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_scaleup,1.0,1.114,0.764,0.593
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_abspart,0.922,0.882,0.887,0.888
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_wallpart,0.922,0.882,0.887,0.888
msfem.Elliptic_MsFEM_Solver.apply_max_usr_threadeff,0.991,0.993,0.996,0.996
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_threadeff,0.992,0.992,0.995,0.995
msfem.algorithm_max_usr_scaleup,1.0,1.14,0.747,0.567
msfem.algorithm_max_usr_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_max_usr_wallpart,0.963,0.897,0.956,0.97
msfem.algorithm_avg_usr_scaleup,1.0,1.115,0.756,0.587
msfem.algorithm_avg_usr_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_avg_usr_wallpart,0.923,0.882,0.897,0.897
msfem.algorithm_max_sys_scaleup,1.0,0.976,0.837,0.651
msfem.algorithm_max_sys_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_max_sys_wallpart,0.008,0.009,0.007,0.007
msfem.algorithm_avg_sys_scaleup,1.0,1.139,1.078,0.876
msfem.algorithm_avg_sys_abspart,0.999,1.0,1.0,1.0
msfem.algorithm_avg_sys_wallpart,0.006,0.005,0.004,0.004
msfem.algorithm_max_wall_scaleup,1.0,1.062,0.742,0.572
msfem.algorithm_max_wall_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_max_wall_wallpart,1.0,1.0,1.0,1.0
msfem.algorithm_avg_wall_scaleup,1.0,1.065,0.735,0.571
msfem.algorithm_avg_wall_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_avg_wall_wallpart,1.0,1.0,1.0,1.0
msfem.algorithm_max_usr_threadeff,0.963,0.897,0.956,0.97
msfem.algorithm_avg_usr_threadeff,0.923,0.882,0.897,0.897
msfem.local.solve_for_all_cells_max_usr_scaleup,1.0,1.115,0.761,0.599
msfem.local.solve_for_all_cells_max_usr_abspart,0.368,0.377,0.362,0.349
msfem.local.solve_for_all_cells_max_usr_wallpart,0.355,0.338,0.346,0.338
